Date,Time (UTC),Exchange,Symbol,Action,Quantity,Price,Margin USD,P&L USD,P&L %,Balance After,Result,Order ID,Mode,Notes
2026-04-24,13:44:58,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,13:45:00,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,13:45:01,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:00:08,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:00:09,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:00:11,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:00:12,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,14:00:13,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:15:20,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:15:22,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:15:23,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:15:24,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,14:15:26,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:30:33,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:30:34,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:30:35,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:30:37,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,14:30:38,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:45:44,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:45:46,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:45:47,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,14:45:49,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,14:45:50,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,15:00:56,BitGet,BTCUSDT,BLOCKED,,82986.70,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,15:00:57,BitGet,ETHUSDT,BLOCKED,,2639.15,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,15:00:59,BitGet,SOLUSDT,BLOCKED,,115.97,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-24,15:01:00,BitGet,XAUTUSDT,BLOCKED,,4894.10,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-24,15:01:02,BitGet,BNBUSDT,BLOCKED,,836.42,,,,,,BLOCKED,BLOCKED,"Failed: RSI(14) below 70 — not a parabolic breakout; Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-25,05:19:07,BitGet,BTCUSDT,OPEN SHORT,0.000127,78821.30,10.00,,,,,PAPER-1777094347416,PAPER,"10x leverage | SL $80003.62 | TP $76456.66"
2026-04-25,05:19:09,BitGet,ETHUSDT,BLOCKED,,2443.93,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,05:19:10,BitGet,SOLUSDT,BLOCKED,,104.89,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,05:19:12,BitGet,BNBUSDT,BLOCKED,,783.20,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,05:19:13,BitGet,DOGEUSDT,BLOCKED,,0.10,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP (near mean); RSI(3) below 40 — pullback entry"
2026-04-25,05:19:14,BitGet,ADAUSDT,BLOCKED,,0.30,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,05:19:16,BitGet,LINKUSDT,BLOCKED,,10.04,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,05:19:17,BitGet,AVAXUSDT,BLOCKED,,10.21,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,05:19:19,BitGet,DOTUSDT,BLOCKED,,1.55,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,05:19:20,BitGet,LTCUSDT,BLOCKED,,59.64,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,05:19:21,BitGet,ATOMUSDT,BLOCKED,,1.97,,,,,,BLOCKED,BLOCKED,"Failed: Price near or above VWAP (snap-back target below); Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,05:19:23,BitGet,NEARUSDT,BLOCKED,,1.21,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,05:19:24,BitGet,TRXUSDT,BLOCKED,,0.29,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-25,05:19:25,BitGet,XAUTUSDT,BLOCKED,,4824.40,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:19,BitGet,DOGEUSDT,BLOCKED,,0.11,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:21,BitGet,ADAUSDT,BLOCKED,,0.30,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:22,BitGet,LINKUSDT,BLOCKED,,9.94,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,08:25:24,BitGet,AVAXUSDT,BLOCKED,,10.18,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:25,BitGet,DOTUSDT,BLOCKED,,1.55,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:27,BitGet,LTCUSDT,BLOCKED,,59.34,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:28,BitGet,ATOMUSDT,OPEN SHORT,10.098460,1.98,20.00,,,,,PAPER-1777105528956,PAPER,"5x leverage | SL $2.01 | TP $1.92"
2026-04-25,08:25:31,BitGet,NEARUSDT,BLOCKED,,1.20,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,08:25:32,BitGet,TRXUSDT,BLOCKED,,0.29,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-25,08:25:33,BitGet,XAUTUSDT,BLOCKED,,4840.90,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,11:10:41,BitGet,ATOMUSDT,CLOSE SHORT,10.098460,2.04,20.00,-1.49,-7.45%,$28.51,"❌ LOSS -$1.49",PAPER-1777105528956,PAPER,"LOSS"
2026-04-25,11:10:45,BitGet,ETHUSDT,BLOCKED,,2409.90,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,11:10:47,BitGet,SOLUSDT,BLOCKED,,105.15,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:48,BitGet,BNBUSDT,BLOCKED,,777.59,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:50,BitGet,DOGEUSDT,BLOCKED,,0.11,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:51,BitGet,ADAUSDT,BLOCKED,,0.30,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:52,BitGet,LINKUSDT,BLOCKED,,9.94,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,11:10:54,BitGet,AVAXUSDT,BLOCKED,,10.18,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:55,BitGet,DOTUSDT,BLOCKED,,1.55,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:56,BitGet,LTCUSDT,BLOCKED,,59.34,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:10:58,BitGet,ATOMUSDT,OPEN SHORT,10.098460,1.98,20.00,,,,,PAPER-1777115458324,PAPER,"5x leverage | SL $2.01 | TP $1.92"
2026-04-25,11:11:00,BitGet,NEARUSDT,BLOCKED,,1.20,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,11:11:02,BitGet,TRXUSDT,BLOCKED,,0.29,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-25,11:11:03,BitGet,XAUTUSDT,BLOCKED,,4840.90,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back)"
2026-04-25,14:35:28,BitGet,ATOMUSDT,CLOSE SHORT,10.098460,2.04,20.00,-1.49,-7.45%,$27.02,"❌ LOSS -$1.49",PAPER-1777115458324,PAPER,"LOSS"
2026-04-25,14:35:32,BitGet,ETHUSDT,BLOCKED,,2410.65,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,14:35:34,BitGet,SOLUSDT,BLOCKED,,104.99,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-25,14:35:35,BitGet,BNBUSDT,BLOCKED,,773.23,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,14:35:36,BitGet,DOGEUSDT,BLOCKED,,0.11,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,14:35:38,BitGet,ADAUSDT,BLOCKED,,0.30,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-25,14:35:39,BitGet,LINKUSDT,BLOCKED,,9.87,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,14:35:41,BitGet,AVAXUSDT,BLOCKED,,10.12,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,14:35:42,BitGet,DOTUSDT,BLOCKED,,1.54,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-25,14:35:43,BitGet,LTCUSDT,BLOCKED,,59.26,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP"
2026-04-25,14:35:45,BitGet,NEARUSDT,BLOCKED,,1.20,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2.5% of VWAP; Volume NOT surging (need exhaustion to fade)"
2026-04-25,14:35:46,BitGet,TRXUSDT,BLOCKED,,0.29,,,,,,BLOCKED,BLOCKED,"Failed: Range signal"
2026-04-25,14:35:48,BitGet,XAUTUSDT,BLOCKED,,4831.50,,,,,,BLOCKED,BLOCKED,"Failed: Price within 2% of VWAP (not too far to snap back); Volume drying up (buyers exhausted)"
2026-04-25,14:35:51,BitGet,BNBUSDT,OPEN SHORT,0.015681,637.71,10.00,,,,,SCALP-1777127751510,PAPER,"⚡ SCALP 10x | SL $639.3043 | TP $634.5215"
